s_tp,s_fp,s_tn,s_fn,a_tp,a_fp,a_tn,a_fn,zona
108,8,34,0,106,0,42,2,casa_sopocachi
141,4,5,0,140,0,9,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
138,11,1,0,138,2,10,0,casa_sopocachi
135,15,0,0,135,0,15,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
63,66,21,0,63,3,84,0,casa_sopocachi
127,12,11,0,127,3,20,0,casa_sopocachi
123,12,15,0,123,1,26,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
104,5,41,0,104,0,46,0,casa_sopocachi
138,9,3,0,137,0,12,1,casa_sopocachi
141,4,5,0,141,0,9,0,casa_sopocachi
143,2,5,0,142,0,7,1,casa_sopocachi
115,11,24,0,114,3,32,1,casa_sopocachi
136,12,2,0,135,0,14,1,casa_sopocachi
141,4,5,0,141,0,9,0,casa_sopocachi
142,4,4,0,142,1,7,0,casa_sopocachi
143,4,3,0,143,0,7,0,casa_sopocachi
140,8,2,0,140,1,9,0,casa_sopocachi
114,31,5,0,114,1,35,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
113,7,30,0,113,0,37,0,casa_sopocachi
122,14,13,1,118,0,27,5,casa_sopocachi
68,29,53,0,67,3,79,1,casa_sopocachi
133,14,3,0,132,0,17,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
85,9,56,0,85,2,63,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
136,9,5,0,136,1,13,0,casa_sopocachi
140,3,7,0,140,0,10,0,casa_sopocachi
128,16,6,0,128,3,19,0,casa_sopocachi
117,14,19,0,116,1,32,1,casa_sopocachi
131,15,4,0,130,2,17,1,casa_sopocachi
128,10,12,0,125,0,22,3,casa_sopocachi
141,3,6,0,141,0,9,0,casa_sopocachi
141,5,4,0,141,0,9,0,casa_sopocachi
140,4,6,0,140,1,9,0,casa_sopocachi
143,4,3,0,143,1,6,0,casa_sopocachi
142,3,5,0,142,1,7,0,casa_sopocachi
93,35,22,0,93,1,56,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
143,2,5,0,142,0,7,1,casa_sopocachi
138,7,5,0,138,0,12,0,casa_sopocachi
136,10,4,0,136,0,14,0,casa_sopocachi
136,13,1,0,136,2,12,0,casa_sopocachi
132,18,0,0,132,1,17,0,casa_sopocachi
143,2,5,0,143,1,6,0,casa_sopocachi
123,14,13,0,122,0,27,1,casa_sopocachi
136,10,4,0,133,0,14,3,casa_sopocachi
134,11,5,0,134,0,16,0,casa_sopocachi
105,27,18,0,104,1,44,1,casa_sopocachi
138,11,1,0,138,2,10,0,casa_sopocachi
139,5,6,0,139,0,11,0,casa_sopocachi
132,15,3,0,131,0,18,1,casa_sopocachi
136,11,3,0,136,2,12,0,casa_sopocachi
143,2,5,0,143,0,7,0,casa_sopocachi
112,18,20,0,109,2,36,3,casa_sopocachi
93,9,48,0,93,2,55,0,casa_sopocachi
141,3,6,0,141,1,8,0,casa_sopocachi
128,6,16,0,127,0,22,1,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
113,9,28,0,110,0,37,3,casa_sopocachi
142,2,6,0,142,0,8,0,casa_sopocachi
135,14,1,0,135,1,14,0,casa_sopocachi
143,3,4,0,143,1,6,0,casa_sopocachi
139,4,7,0,139,0,11,0,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
129,17,4,0,128,0,21,1,casa_sopocachi
139,6,5,0,139,1,10,0,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
143,3,4,0,143,1,6,0,casa_sopocachi
141,4,5,0,141,1,8,0,casa_sopocachi
137,12,1,0,136,0,13,1,casa_sopocachi
142,4,4,0,142,0,8,0,casa_sopocachi
138,11,1,0,138,0,12,0,casa_sopocachi
123,7,20,0,123,0,27,0,casa_sopocachi
125,21,4,0,125,1,24,0,casa_sopocachi
136,7,7,0,136,0,14,0,casa_sopocachi
139,9,2,0,139,1,10,0,casa_sopocachi
143,2,5,0,143,0,7,0,casa_sopocachi
143,1,6,0,142,0,7,1,casa_sopocachi
141,2,7,0,140,0,9,1,casa_sopocachi
143,3,4,0,143,0,7,0,casa_sopocachi
137,11,2,0,136,1,12,1,casa_sopocachi
135,8,7,0,135,0,15,0,casa_sopocachi
129,16,5,0,129,3,18,0,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
96,9,45,0,93,1,53,3,casa_sopocachi
127,10,13,0,127,3,20,0,casa_sopocachi
142,3,5,0,142,1,7,0,casa_sopocachi
137,12,1,0,134,0,13,3,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
143,3,4,0,142,2,5,1,casa_sopocachi
142,4,4,0,142,1,7,0,casa_sopocachi
126,18,6,0,126,5,19,0,casa_sopocachi
67,12,71,0,64,3,80,3,casa_sopocachi
143,4,3,0,143,0,7,0,casa_sopocachi
144,2,4,0,144,1,5,0,casa_sopocachi
79,22,49,0,79,0,71,0,casa_sopocachi
140,2,8,0,139,0,10,1,casa_sopocachi
128,13,9,0,128,2,20,0,casa_sopocachi
138,7,5,0,136,0,12,2,casa_sopocachi
150,0,0,0,150,0,0,0,casa_sopocachi
143,3,4,0,143,1,6,0,casa_sopocachi
141,3,6,0,141,1,8,0,casa_sopocachi
140,2,8,0,139,0,10,1,casa_sopocachi
125,18,7,0,117,0,25,8,casa_sopocachi
141,4,5,0,141,1,8,0,casa_sopocachi
123,12,15,0,121,1,26,2,casa_sopocachi
142,3,5,0,142,0,8,0,casa_sopocachi
138,7,5,0,138,1,11,0,casa_sopocachi
73,11,66,0,72,2,75,1,casa_sopocachi
132,8,10,0,132,1,17,0,casa_sopocachi
137,10,3,0,137,3,10,0,casa_sopocachi
134,10,6,0,132,1,15,2,casa_sopocachi
100,9,41,0,100,0,50,0,casa_sopocachi
134,13,3,0,134,2,14,0,casa_sopocachi
